description;address;area;bedroom;bathroom;garage;price;maintenance_fee;prop_link
Apartamento com 3 Quartos à Venda, 156m²;Rua Francisco Rocha, 1777 - Champagnat, Curitiba - PR;156;3;3;2;R$ 840.000      Preço abaixo do mercado;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS840000-id-2546566617/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com 3 Quartos à Venda, 107m²;Rua Martim Afonso, 1918 - Bigorrilho, Curitiba - PR;107;3;3;1;R$ 590.000;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-107m2-venda-RS590000-id-2553302197/
Apartamento com 2 Quartos à Venda, 69m²;Avenida Visconde de Guarapuava, 2764 - Centro, Curitiba - PR;69;2;2;1;R$ 590.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-69m2-venda-RS590000-id-2565090666/
Apartamento com 3 Quartos à Venda, 88m²;Avenida Paraná, 1758 - Bacacheri, Curitiba - PR;88;3;2;1;R$ 495.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-88m2-venda-RS495000-id-2571816969/
Apartamento com 3 Quartos à Venda, 137m²;Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR;137;3;3;2;R$ 640.000;R$ 525;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-137m2-venda-RS640000-id-2547149340/
Apartamento com 2 Quartos à Venda, 71m²;Rua Cristiano Strobel, 2826 - Alto Boqueirão, Curitiba - PR;71;2;2;2;R$ 468.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-71m2-venda-RS468000-id-2580825504/
Apartamento com 3 Quartos à Venda, 63m²;Rua Padre Agostinho, 2026 - Bigorrilho, Curitiba - PR;63;3;2;1;R$ 315.000      Preço abaixo do mercado;R$ 430;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-63m2-venda-RS315000-id-2538270880/
Apartamento com 3 Quartos à Venda, 57m²;Rua Rezala Simão, 990 - Santa Quitéria, Curitiba - PR;57;3;1;1;R$ 230.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-quiteria-bairros-curitiba-com-garagem-57m2-venda-RS230000-id-2579329002/
Apartamento com 3 Quartos à Venda, 221m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;221;3;4;2;R$ 1.700.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-221m2-venda-RS1700000-id-2556429754/
Apartamento com 2 Quartos à Venda, 80m²;Rua Raquel Prado, 161 - Mercês, Curitiba - PR;80;2;2;2;R$ 699.900;R$ 335;https://www.vivareal.com.br/imovel/apartamento-2-quartos-merces-bairros-curitiba-com-garagem-80m2-venda-RS699900-id-2573912599/
Apartamento com 2 Quartos à Venda, 57m²;Rua Padre Anchieta, 1965 - Bigorrilho, Curitiba - PR;57;2;2;1;R$ 345.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-57m2-venda-RS345000-id-2542150574/
Apartamento com 3 Quartos à Venda, 109m²;Rua Morretes, 160 - Portão, Curitiba - PR;109;3;3;1;R$ 530.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-109m2-venda-RS530000-id-2551734380/
Apartamento com 3 Quartos à Venda, 53m²;Rua João Dembinski - Cidade Industrial, Curitiba - PR;53;3;1;1;R$ 175.000;R$ 359;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-53m2-venda-RS175000-id-2537687990/
Apartamento com 3 Quartos à Venda, 138m²;Rua Lamenha Lins, 355 - Centro, Curitiba - PR;138;3;4;3;R$ 2.000.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-138m2-venda-RS2000000-id-2572150382/
Apartamento com 2 Quartos à Venda, 59m²;Rua Alberto Potier, 456 - Boa Vista, Curitiba - PR;59;2;2;1;R$ 404.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-59m2-venda-RS404000-id-2513064777/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com  Quarto à Venda, 17m²;Rua Ildefonso Stockler de França, 260 - Novo Mundo, Curitiba - PR;17;1;1;--;R$ 179.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-novo-mundo-bairros-curitiba-17m2-venda-RS179000-id-2529205504/
Apartamento com 3 Quartos à Venda, 107m²;Avenida Senador Souza Naves, 290 - Alto da Rua XV, Curitiba - PR;107;3;2;2;R$ 499.000;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-107m2-venda-RS499000-id-2540008874/
Apartamento com 2 Quartos à Venda, 70m²;Rua Poeta Francisco Ferreira Leite, 40 - Cristo Rei, Curitiba - PR;70;2;1;1;R$ 295.000;R$ 430;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-70m2-venda-RS295000-id-2557086354/
Apartamento com 4 Quartos à Venda, 178m²;Rua Visconde do Rio Branco, 1541 - Centro, Curitiba - PR;178;4;3;1;R$ 520.000      Preço abaixo do mercado;R$ 1.465;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-178m2-venda-RS520000-id-2524549499/
Apartamento com 2 Quartos à Venda, 96m²;Rua Doutor Raul Carneiro Filho, 371 - Água Verde, Curitiba - PR;96;2;2;1;R$ 690.000;R$ 250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-96m2-venda-RS690000-id-2574501013/
Apartamento com 3 Quartos à Venda, 53m²;Rua Alfredo José Pinto, 1640 - Fazendinha, Curitiba - PR;53;3;1;1;R$ 185.000;R$ 392;https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-53m2-venda-RS185000-id-2570851862/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de     R$ 200.237;;https://www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
Apartamento com 3 Quartos à Venda, 66m²;Rua Deputado Waldemiro Pedroso, 1063 - Novo Mundo, Curitiba - PR;66;3;2;1;R$ 269.990;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-66m2-venda-RS269990-id-2571354945/
Apartamento com 2 Quartos à Venda, 63m²;Rua João Alencar Guimarães, 1085 - Santa Quitéria, Curitiba - PR;63;2;2;1;R$ 439.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-quiteria-bairros-curitiba-com-garagem-63m2-venda-RS439000-id-2565375785/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 649.900;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS649900-id-2573328728/
Apartamento com 4 Quartos à Venda, 220m²;Avenida Iguaçu, 2663 - Batel, Curitiba - PR;220;4;5;3;R$ 3.899.000;R$ 2.800;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-220m2-venda-RS3899000-id-2563495299/
Apartamento com 3 Quartos à Venda, 77m²;Rua Nossa Senhora de Nazaré, 615 - Boa Vista, Curitiba - PR;77;3;2;1;R$ 595.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-77m2-venda-RS595000-id-2557155962/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.220.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1220000-id-2535740776/
Easy District;Rua Desembargador Westphalen, 450 - Centro, Curitiba - PR;18-34;1-2;1;--;A partir de     R$ 221.000;;https://www.vivareal.com.br/imoveis-lancamento/easy-district-2569691143/
Apartamento com 3 Quartos à Venda, 86m²;Alameda Doutor Muricy, 209 - Centro, Curitiba - PR;86;3;2;--;R$ 250.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-86m2-venda-RS250000-id-2582761522/
Apartamento com  Quarto à Venda, 33m²;Rua Augusto de Mari, 3994 - Portão, Curitiba - PR;33;1;1;--;R$ 249.900;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-portao-bairros-curitiba-33m2-venda-RS249900-id-2574004274/
Apartamento com 3 Quartos à Venda, 105m²;Rua Dom Pedro I, 1071 - Água Verde, Curitiba - PR;105;3;2;1;R$ 580.000;R$ 437;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-105m2-venda-RS580000-id-2559832290/
Apartamento com 3 Quartos à Venda, 76m²;Avenida São José, 500 - Cristo Rei, Curitiba - PR;76;3;2;1;R$ 345.000      Preço abaixo do mercado;R$ 350;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-76m2-venda-RS345000-id-2546840977/
Apartamento com 4 Quartos à Venda, 168m²;Rua Padre Anchieta, 198 - Mercês, Curitiba - PR;168;4;3;2;R$ 720.000;R$ 1.300;https://www.vivareal.com.br/imovel/apartamento-4-quartos-merces-bairros-curitiba-com-garagem-168m2-venda-RS720000-id-2580288498/
Apartamento com 3 Quartos à Venda, 156m²;Rua Francisco Rocha, 1777 - Champagnat, Curitiba - PR;156;3;3;2;R$ 840.000      Preço abaixo do mercado;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS840000-id-2546566617/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com 3 Quartos à Venda, 107m²;Rua Martim Afonso, 1918 - Bigorrilho, Curitiba - PR;107;3;3;1;R$ 590.000;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-107m2-venda-RS590000-id-2553302197/
Apartamento com 2 Quartos à Venda, 69m²;Avenida Visconde de Guarapuava, 2764 - Centro, Curitiba - PR;69;2;2;1;R$ 590.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-69m2-venda-RS590000-id-2565090666/
Apartamento com 3 Quartos à Venda, 88m²;Avenida Paraná, 1758 - Bacacheri, Curitiba - PR;88;3;2;1;R$ 495.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-88m2-venda-RS495000-id-2571816969/
Apartamento com 3 Quartos à Venda, 137m²;Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR;137;3;3;2;R$ 640.000;R$ 525;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-137m2-venda-RS640000-id-2547149340/
Apartamento com 2 Quartos à Venda, 71m²;Rua Cristiano Strobel, 2826 - Alto Boqueirão, Curitiba - PR;71;2;2;2;R$ 468.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-71m2-venda-RS468000-id-2580825504/
Apartamento com 3 Quartos à Venda, 63m²;Rua Padre Agostinho, 2026 - Bigorrilho, Curitiba - PR;63;3;2;1;R$ 315.000      Preço abaixo do mercado;R$ 430;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-63m2-venda-RS315000-id-2538270880/
Apartamento com 3 Quartos à Venda, 57m²;Rua Rezala Simão, 990 - Santa Quitéria, Curitiba - PR;57;3;1;1;R$ 230.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-quiteria-bairros-curitiba-com-garagem-57m2-venda-RS230000-id-2579329002/
Apartamento com 3 Quartos à Venda, 221m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;221;3;4;2;R$ 1.700.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-221m2-venda-RS1700000-id-2556429754/
Apartamento com 2 Quartos à Venda, 80m²;Rua Raquel Prado, 161 - Mercês, Curitiba - PR;80;2;2;2;R$ 699.900;R$ 335;https://www.vivareal.com.br/imovel/apartamento-2-quartos-merces-bairros-curitiba-com-garagem-80m2-venda-RS699900-id-2573912599/
Apartamento com 2 Quartos à Venda, 57m²;Rua Padre Anchieta, 1965 - Bigorrilho, Curitiba - PR;57;2;2;1;R$ 345.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-57m2-venda-RS345000-id-2542150574/
Apartamento com 3 Quartos à Venda, 109m²;Rua Morretes, 160 - Portão, Curitiba - PR;109;3;3;1;R$ 530.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-109m2-venda-RS530000-id-2551734380/
Apartamento com 3 Quartos à Venda, 53m²;Rua João Dembinski - Cidade Industrial, Curitiba - PR;53;3;1;1;R$ 175.000;R$ 359;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-53m2-venda-RS175000-id-2537687990/
Apartamento com 3 Quartos à Venda, 138m²;Rua Lamenha Lins, 355 - Centro, Curitiba - PR;138;3;4;3;R$ 2.000.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-138m2-venda-RS2000000-id-2572150382/
Apartamento com 2 Quartos à Venda, 59m²;Rua Alberto Potier, 456 - Boa Vista, Curitiba - PR;59;2;2;1;R$ 404.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-59m2-venda-RS404000-id-2513064777/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com  Quarto à Venda, 17m²;Rua Ildefonso Stockler de França, 260 - Novo Mundo, Curitiba - PR;17;1;1;--;R$ 179.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-novo-mundo-bairros-curitiba-17m2-venda-RS179000-id-2529205504/
Apartamento com 3 Quartos à Venda, 107m²;Avenida Senador Souza Naves, 290 - Alto da Rua XV, Curitiba - PR;107;3;2;2;R$ 499.000;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-107m2-venda-RS499000-id-2540008874/
Apartamento com 2 Quartos à Venda, 70m²;Rua Poeta Francisco Ferreira Leite, 40 - Cristo Rei, Curitiba - PR;70;2;1;1;R$ 295.000;R$ 430;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-70m2-venda-RS295000-id-2557086354/
Apartamento com 4 Quartos à Venda, 178m²;Rua Visconde do Rio Branco, 1541 - Centro, Curitiba - PR;178;4;3;1;R$ 520.000      Preço abaixo do mercado;R$ 1.465;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-178m2-venda-RS520000-id-2524549499/
Apartamento com 2 Quartos à Venda, 96m²;Rua Doutor Raul Carneiro Filho, 371 - Água Verde, Curitiba - PR;96;2;2;1;R$ 690.000;R$ 250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-96m2-venda-RS690000-id-2574501013/
Apartamento com 3 Quartos à Venda, 53m²;Rua Alfredo José Pinto, 1640 - Fazendinha, Curitiba - PR;53;3;1;1;R$ 185.000;R$ 392;https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-53m2-venda-RS185000-id-2570851862/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de     R$ 200.237;;https://www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
Apartamento com 3 Quartos à Venda, 66m²;Rua Deputado Waldemiro Pedroso, 1063 - Novo Mundo, Curitiba - PR;66;3;2;1;R$ 269.990;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-66m2-venda-RS269990-id-2571354945/
Apartamento com 2 Quartos à Venda, 63m²;Rua João Alencar Guimarães, 1085 - Santa Quitéria, Curitiba - PR;63;2;2;1;R$ 439.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-quiteria-bairros-curitiba-com-garagem-63m2-venda-RS439000-id-2565375785/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 649.900;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS649900-id-2573328728/
Apartamento com 4 Quartos à Venda, 220m²;Avenida Iguaçu, 2663 - Batel, Curitiba - PR;220;4;5;3;R$ 3.899.000;R$ 2.800;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-220m2-venda-RS3899000-id-2563495299/
Apartamento com 3 Quartos à Venda, 77m²;Rua Nossa Senhora de Nazaré, 615 - Boa Vista, Curitiba - PR;77;3;2;1;R$ 595.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-77m2-venda-RS595000-id-2557155962/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.220.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1220000-id-2535740776/
Easy District;Rua Desembargador Westphalen, 450 - Centro, Curitiba - PR;18-34;1-2;1;--;A partir de     R$ 221.000;;https://www.vivareal.com.br/imoveis-lancamento/easy-district-2569691143/
Apartamento com 3 Quartos à Venda, 86m²;Alameda Doutor Muricy, 209 - Centro, Curitiba - PR;86;3;2;--;R$ 250.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-86m2-venda-RS250000-id-2582761522/
Apartamento com  Quarto à Venda, 33m²;Rua Augusto de Mari, 3994 - Portão, Curitiba - PR;33;1;1;--;R$ 249.900;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-portao-bairros-curitiba-33m2-venda-RS249900-id-2574004274/
Apartamento com 3 Quartos à Venda, 105m²;Rua Dom Pedro I, 1071 - Água Verde, Curitiba - PR;105;3;2;1;R$ 580.000;R$ 437;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-105m2-venda-RS580000-id-2559832290/
Apartamento com 3 Quartos à Venda, 76m²;Avenida São José, 500 - Cristo Rei, Curitiba - PR;76;3;2;1;R$ 345.000      Preço abaixo do mercado;R$ 350;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-76m2-venda-RS345000-id-2546840977/
Apartamento com 4 Quartos à Venda, 168m²;Rua Padre Anchieta, 198 - Mercês, Curitiba - PR;168;4;3;2;R$ 720.000;R$ 1.300;https://www.vivareal.com.br/imovel/apartamento-4-quartos-merces-bairros-curitiba-com-garagem-168m2-venda-RS720000-id-2580288498/
Apartamento com 3 Quartos à Venda, 156m²;Rua Francisco Rocha, 1777 - Champagnat, Curitiba - PR;156;3;3;2;R$ 840.000      Preço abaixo do mercado;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS840000-id-2546566617/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com 3 Quartos à Venda, 107m²;Rua Martim Afonso, 1918 - Bigorrilho, Curitiba - PR;107;3;3;1;R$ 590.000;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-107m2-venda-RS590000-id-2553302197/
Apartamento com 2 Quartos à Venda, 69m²;Avenida Visconde de Guarapuava, 2764 - Centro, Curitiba - PR;69;2;2;1;R$ 590.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-69m2-venda-RS590000-id-2565090666/
Apartamento com 3 Quartos à Venda, 88m²;Avenida Paraná, 1758 - Bacacheri, Curitiba - PR;88;3;2;1;R$ 495.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-88m2-venda-RS495000-id-2571816969/
Apartamento com 3 Quartos à Venda, 137m²;Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR;137;3;3;2;R$ 640.000;R$ 525;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-137m2-venda-RS640000-id-2547149340/
Apartamento com 2 Quartos à Venda, 71m²;Rua Cristiano Strobel, 2826 - Alto Boqueirão, Curitiba - PR;71;2;2;2;R$ 468.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-71m2-venda-RS468000-id-2580825504/
Apartamento com 3 Quartos à Venda, 63m²;Rua Padre Agostinho, 2026 - Bigorrilho, Curitiba - PR;63;3;2;1;R$ 315.000      Preço abaixo do mercado;R$ 430;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-63m2-venda-RS315000-id-2538270880/
Apartamento com 3 Quartos à Venda, 57m²;Rua Rezala Simão, 990 - Santa Quitéria, Curitiba - PR;57;3;1;1;R$ 230.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-quiteria-bairros-curitiba-com-garagem-57m2-venda-RS230000-id-2579329002/
Apartamento com 3 Quartos à Venda, 221m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;221;3;4;2;R$ 1.700.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-221m2-venda-RS1700000-id-2556429754/
Apartamento com 2 Quartos à Venda, 80m²;Rua Raquel Prado, 161 - Mercês, Curitiba - PR;80;2;2;2;R$ 699.900;R$ 335;https://www.vivareal.com.br/imovel/apartamento-2-quartos-merces-bairros-curitiba-com-garagem-80m2-venda-RS699900-id-2573912599/
Apartamento com 2 Quartos à Venda, 57m²;Rua Padre Anchieta, 1965 - Bigorrilho, Curitiba - PR;57;2;2;1;R$ 345.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-57m2-venda-RS345000-id-2542150574/
Apartamento com 3 Quartos à Venda, 109m²;Rua Morretes, 160 - Portão, Curitiba - PR;109;3;3;1;R$ 530.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-109m2-venda-RS530000-id-2551734380/
Apartamento com 3 Quartos à Venda, 53m²;Rua João Dembinski - Cidade Industrial, Curitiba - PR;53;3;1;1;R$ 175.000;R$ 359;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-53m2-venda-RS175000-id-2537687990/
Apartamento com 3 Quartos à Venda, 138m²;Rua Lamenha Lins, 355 - Centro, Curitiba - PR;138;3;4;3;R$ 2.000.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-138m2-venda-RS2000000-id-2572150382/
Apartamento com 2 Quartos à Venda, 59m²;Rua Alberto Potier, 456 - Boa Vista, Curitiba - PR;59;2;2;1;R$ 404.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-59m2-venda-RS404000-id-2513064777/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com  Quarto à Venda, 17m²;Rua Ildefonso Stockler de França, 260 - Novo Mundo, Curitiba - PR;17;1;1;--;R$ 179.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-novo-mundo-bairros-curitiba-17m2-venda-RS179000-id-2529205504/
Apartamento com 3 Quartos à Venda, 107m²;Avenida Senador Souza Naves, 290 - Alto da Rua XV, Curitiba - PR;107;3;2;2;R$ 499.000;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-107m2-venda-RS499000-id-2540008874/
Apartamento com 2 Quartos à Venda, 70m²;Rua Poeta Francisco Ferreira Leite, 40 - Cristo Rei, Curitiba - PR;70;2;1;1;R$ 295.000;R$ 430;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-70m2-venda-RS295000-id-2557086354/
Apartamento com 4 Quartos à Venda, 178m²;Rua Visconde do Rio Branco, 1541 - Centro, Curitiba - PR;178;4;3;1;R$ 520.000      Preço abaixo do mercado;R$ 1.465;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-178m2-venda-RS520000-id-2524549499/
Apartamento com 2 Quartos à Venda, 96m²;Rua Doutor Raul Carneiro Filho, 371 - Água Verde, Curitiba - PR;96;2;2;1;R$ 690.000;R$ 250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-96m2-venda-RS690000-id-2574501013/
Apartamento com 3 Quartos à Venda, 53m²;Rua Alfredo José Pinto, 1640 - Fazendinha, Curitiba - PR;53;3;1;1;R$ 185.000;R$ 392;https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-53m2-venda-RS185000-id-2570851862/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de     R$ 200.237;;https://www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
